ACTION,CLEARED,INDICATION_OF_COLLATERALIZATION,TAXONOMY,PRICE_FORMING_CONTINUATION_DATA,PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.8,110
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,3.85,15
NEW,C,UC,Credit:Index:CDX:CDXIG,Novation,0.84,50
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Trade,0.84,25
NEW,C,UC,Credit:Index:CDX:CDXIG,Novation,0.84,5
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.84,110
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,4.07,10
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.03,20
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4.05,20
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,5,16
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,5,0.5
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,3.58,10
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.82,25
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,3.58,10
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.8,60
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.83,50
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,4.06,10
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.05,20
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.82,50
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,3.98,20
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,3.95,35
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.01,10
CORRECT,C,UC,Credit:Index:CDX:CDXHY,Trade,5,50
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.82,9
NEW,C,FC,Credit:Index:CDX:CDXIG,Novation,0.83,6
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,2
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.08,25
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,5,16
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.81,25
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,5,0.5
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.8,50
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,3.97,10
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.78,50
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.78,10
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.05,65
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,5
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,1.04,30
NEW,U,FC,Credit:Index:CDX:CDXHY,Amendment,1.05,5
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.81,50
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,100
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,3.95,15
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.8,25
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,61
CORRECT,C,FC,Credit:Index:CDX:CDXIG,Trade,0.58,49
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.8,25
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,3.88,15
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Trade,0.79,3
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,3.86,10
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.79,25
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.85,14
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.78,25
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.78,25
NEW,U,FC,Credit:Index:CDX:CDXHY,Amendment,1.04,6
NEW,U,FC,Credit:Index:CDX:CDXHY,Amendment,1.04,6
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.05,100
NEW,U,FC,Credit:Index:CDX:CDXHY,Amendment,1.04,6
NEW,U,FC,Credit:Index:CDX:CDXHY,Amendment,1.04,6
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.78,14
CORRECT,U,UC,Credit:Index:CDX:CDXIG,Trade,0.78,3
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.78,3
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,9
CORRECT,U,UC,Credit:Index:CDX:CDXIG,Trade,0.77,9
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.77,16
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,5
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.76,50
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.75,25
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,2
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,0.88
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.74,25
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.76,9
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1.05,15
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.79,25
NEW,C,FC,Credit:Index:CDX:CDXIG,Novation,0.79,110
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,5
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,5
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.78,3
NEW,U,OC,Credit:Index:CDX:CDXIG,Trade,0.82,12
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.82,100
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.82,110
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,100
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,1.06,52
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.75,1
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.77,25
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.77,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.77,17
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.77,1
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,5,2
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,5,0.15
CORRECT,U,FC,Credit:Index:CDX:CDXIG,Trade,0.77,13
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.78,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.82,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.82,25
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.82,50
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.77,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.82,110
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.84,110
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.79,110
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1.04,40
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1.04,10
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.67,26
CORRECT,C,UC,Credit:Index:CDX:CDXIG,Trade,0.47,200
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,5
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,5
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,5
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,3.98,15
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4,10
NEW,C,OC,Credit:Index:CDX:CDXIG,Trade,0.83,25
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,1,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,1,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.83,75
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,3.97,20
CORRECT,C,FC,Credit:Index:CDX:CDXIG,Trade,0.8,110
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.83,10
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,1,110
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,5
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,100
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,5
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.86,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.81,110
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.17,10
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.14,10
NEW,U,PC,Credit:Index:CDX:CDXIG,Amendment,0.81,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.81,3
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,100
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.88,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.83,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.83,3
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.88,79
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.12,20
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,4
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4.15,25
CORRECT,C,PC,Credit:Index:CDX:CDXIG,Novation,0.87,20
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4.29,5
NEW,U,PC,Credit:Index:CDX:CDXHY,Novation,1.03,0.33
NEW,U,PC,Credit:Index:CDX:CDXHY,Novation,1.03,0.1
NEW,U,PC,Credit:Index:CDX:CDXHY,Novation,1.03,0.075
NEW,U,PC,Credit:Index:CDX:CDXHY,Novation,1.03,0.13
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1,4
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,1.03,50
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,17
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,0.1,75
CORRECT,U,UC,Credit:Index:CDX:CDXIG,Trade,0.92,47
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4.38,10
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,5.08,10
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,15
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4.37,25
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,5.06,20
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,73
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,5
CORRECT,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,0.88,15
CORRECT,U,UC,Credit:Index:CDX:CDXIG,Trade,0.92,15
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,100
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,5,35
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,50
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,5,35
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.93,25
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.85,110
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,29
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,99.53,7
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,99.57,5
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.39,10
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.35,10
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.35,10
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,5.03,20
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,5.1,20
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Trade,0.9,100
CORRECT,U,FC,Credit:Index:CDX:CDXIG,Trade,0.87,100
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.87,50
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Trade,0.9,75
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Trade,0.9,100
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Trade,0.9,35
CORRECT,U,FC,Credit:Index:CDX:CDXIG,Trade,0.9,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Novation,0.87,50
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,1,88
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.54,50
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.37,71
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,1,18
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,1.03,18
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1,3
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.91,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.93,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.93,110
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.03,15
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.93,50
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.93,25
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.93,25
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.93,40
NEW,U,FC,Credit:Index:CDX:CDXHY,Amendment,1.04,1
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,99.91,5
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.92,10
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4.93,20
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.25,10
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.03,15
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.03,15
NEW,U,FC,Credit:Index:CDX:CDXHY,Amendment,1.04,1
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.87,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.87,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.87,110
NEW,U,FC,Credit:Index:CDX:CDXHY,Novation,1.03,29
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.88,50
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.03,100
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.96,100
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.96,10
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.92,20
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.96,20
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.3,4
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4.33,10
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,5.09,10
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,5.05,10
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.98,50
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.97,10
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.98,50
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,13
CORRECT,C,FC,Credit:Index:CDX:CDXIG,Trade,0.9,110
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,5,55
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.94,1
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.94,2
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.94,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.94,50
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,0.66
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,0.82
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,0.27
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,1
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,60
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,0.17
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,2
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,5.12,10
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4.4,10
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.88,25
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.42,5
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,5,10
NEW,U,FC,Credit:Index:CDX:CDXHY,Novation,1.05,2
NEW,U,FC,Credit:Index:CDX:CDXHY,Novation,1.05,2
NEW,U,FC,Credit:Index:CDX:CDXHY,Novation,1.05,2
NEW,U,FC,Credit:Index:CDX:CDXHY,Novation,1.05,2
NEW,U,FC,Credit:Index:CDX:CDXHY,Novation,1.05,2
NEW,C,FC,Credit:Index:CDX:CDXIG,Novation,0.9,8
NEW,C,FC,Credit:Index:CDX:CDXIG,Novation,0.9,8
NEW,U,FC,Credit:Index:CDX:CDXHY,Novation,1.05,2
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.86,25
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.01,0.13
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,100
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,90.96,25
NEW,U,FC,Credit:Index:CDX:CDXHY,Novation,1.03,0.66
NEW,U,FC,Credit:Index:CDX:CDXHY,Novation,1.03,0.27
NEW,U,FC,Credit:Index:CDX:CDXHY,Novation,1.03,0.17
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,100
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4.81,40
CORRECT,U,FC,Credit:Index:CDX:CDXIG,Trade,0.87,3
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.88,110
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,100
NEW,C,FC,Credit:Index:CDX:CDXIG,Novation,0.82,10
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4.72,5
CORRECT,U,FC,Credit:Index:CDX:CDXIG,Trade,1,8
CORRECT,U,FC,Credit:Index:CDX:CDXIG,Trade,1,0.45
CORRECT,U,FC,Credit:Index:CDX:CDXIG,Trade,1,0.5
CORRECT,U,FC,Credit:Index:CDX:CDXIG,Trade,1,8
CORRECT,U,FC,Credit:Index:CDX:CDXIG,Trade,1,0.025
CORRECT,U,FC,Credit:Index:CDX:CDXIG,Trade,1,0.5
CORRECT,U,FC,Credit:Index:CDX:CDXIG,Trade,1,0.45
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.04,42
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.87,2
CORRECT,U,FC,Credit:Index:CDX:CDXIG,Trade,1,0.03
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.88,34
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.8,20
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,100
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.84,25
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.84,50
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.84,10
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,100
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,3.81,20
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,3.81,11
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.54,50
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.58,50
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4.51,20
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,7
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.84,20
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4.53,10
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,58
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,100
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,100
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4.39,10
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4.44,10
CORRECT,C,PC,Credit:Index:CDX:CDXIG,Novation,0.83,96
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.79,25
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4.59,10
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.51,20
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4.57,5
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.83,56
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,5,2
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,5,0.55
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.79,25
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,2
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,3
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,5
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.86,25
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.83,25
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.57,20
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.02,100
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4.57,10
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.85,100
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.02,12
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.76,22
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,79
NEW,U,FC,Credit:Index:CDX:CDXIG,Novation,0.17,2
NEW,U,FC,Credit:Index:CDX:CDXIG,Novation,0.17,24
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.17,96
CORRECT,C,PC,Credit:Index:CDX:CDXIG,Novation,0.78,21
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.07,50
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.07,3
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,100
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.07,36
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.07,95
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.82,110
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.44,30
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.44,30
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4.46,35
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,0.045
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.77,110
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.82,10
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.82,50
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,5,100
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.42,10
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.39,10
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,0.045
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,100
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.81,110
NEW,U,FC,Credit:Index:CDX:CDXHY,Amendment,5,100
NEW,U,FC,Credit:Index:CDX:CDXHY,Amendment,5,100
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,50
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,50
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.81,15
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,100
NEW,U,FC,Credit:Index:CDX:CDXHY,Amendment,5,100
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,5,0.63
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,5,0.13
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.8,110
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.36,35
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,3.68,10
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.35,20
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,3.67,20
CORRECT,C,UC,Credit:Index:CDX:CDXIG,Novation,0.77,45
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.8,50
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.8,110
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.81,110
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,3.75,10
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.82,110
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.81,71
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.44,25
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.41,25
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.05,13
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.82,22
NEW,C,UC,Credit:Index:CDX:CDXIG,Novation,0.77,21
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.23,320
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.81,100
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.39,10
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,3
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.07,0.1
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.07,0.05
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.07,0.07
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,5,15
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Trade,0.8,50
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.79,10
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.79,10
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.78,25
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1.06,0.68
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.8,10
CORRECT,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,7
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,1,25
NEW,U,FC,Credit:Index:CDX:CDXHY,Amendment,1.06,7
NEW,U,FC,Credit:Index:CDX:CDXHY,Amendment,1.06,7
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.77,110
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.03,5
NEW,C,FC,Credit:Index:CDX:CDXHY,Trade,4.27,5
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,4.25,45
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,1.06,0.68
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.27,3
NEW,C,PC,Credit:Index:CDX:CDXIG,Trade,0.62,4
CORRECT,C,FC,Credit:Index:CDX:CDXIG,Trade,0.27,3
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.62,25
NEW,C,FC,Credit:Index:CDX:CDXIG,Trade,0.71,25
