ACTION,CLEARED,INDICATION_OF_COLLATERALIZATION,TAXONOMY,PRICE_FORMING_CONTINUATION_DATA,PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,68
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,80
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,1,19
CORRECT,U,UC,Credit:Index:CDX:CDXHY,Trade,1,18
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,68
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1,17
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,15
NEW,U,PC,Credit:Index:CDX:CDXIG,Amendment,0.71,53
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,80
CORRECT,U,UC,Credit:Index:CDX:CDXIG,Trade,1,80
CANCEL,U,UC,Credit:Index:CDX:CDXHY,Trade,5,2
CANCEL,U,UC,Credit:Index:CDX:CDXHY,Trade,5,0.47
CANCEL,U,UC,Credit:Index:CDX:CDXHY,Trade,5,1
CANCEL,U,UC,Credit:Index:CDX:CDXHY,Trade,5,0.48
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,5,12
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.69,6
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.76,0.25
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.75,0.25
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Amendment,5,5
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Amendment,5,5
NEW,U,PC,Credit:Index:CDX:CDXHY,Amendment,1.04,1
NEW,U,PC,Credit:Index:CDX:CDXHY,Amendment,1.04,1
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.72,0.25
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,5,25
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,5,25
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,1,50
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,1,10
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,1,50
CANCEL,U,UC,Credit:Index:CDX:CDXIG,Trade,0.67,110
CANCEL,U,UC,Credit:Index:CDX:CDXIG,Trade,0.67,110
CANCEL,C,UC,Credit:Index:CDX:CDXIG,Trade,0.67,110
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.31,0.5
CORRECT,C,UC,Credit:Index:CDX:CDXIG,Trade,0.63,100
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,2.59,3
NEW,U,PC,Credit:Index:CDX:CDXHY,Partialtermination,1.04,1
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.63,49
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.62,1
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,1.08,2
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.62,50
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.63,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.63,27
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.64,23
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,5,5
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,1.08,15
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,1.08,5
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.65,50
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.65,75
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,5,10
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.65,75
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,1.02,100
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.65,110
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.65,7
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.48,50
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.57,13
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.65,75
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.48,200
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.65,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.65,100
NEW,U,FC,Credit:Index:CDX:CDXHY,Partialtermination,1.09,9
NEW,U,FC,Credit:Index:CDX:CDXHY,Partialtermination,1.09,23
NEW,U,FC,Credit:Index:CDX:CDXHY,Partialtermination,1.09,22
NEW,U,FC,Credit:Index:CDX:CDXHY,Partialtermination,1.09,7
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.65,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.64,100
CORRECT,U,UC,Credit:Index:CDX:CDXIG,Trade,0.64,14
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.64,14
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.64,100
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,1.08,5
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,1.08,5
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,1.08,5
NEW,C,UC,Credit:Index:CDX:CDXHY,Trade,1.08,5
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Trade,0.56,17
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,5,27
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,5,7
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,5,7
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,5,11
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,5,27
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,5,11
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,5,5
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,5,5
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.33,100
